ID,commune_ID,localite,localite_ID,source
454,10501,amanzagaghnene ch‹?teau,bureau_10501109,voting_lists
455,10501,akadaney,bureau_10501110,voting_lists
456,10501,lazrak,bureau_10501111,voting_lists
457,10501,rafia,bureau_10501112,voting_lists
458,10501,tijitemalat,bureau_10501113,voting_lists
459,10501,tidekelt,bureau_10501114,voting_lists
460,10501,amataltal1,bureau_10501115,voting_lists
461,10501,amataltal2,bureau_10501116,voting_lists
462,10501,teguirwitt2,bureau_10501117,voting_lists
463,10501,agogh2,bureau_10501118,voting_lists
464,10501,wantaghatemt,bureau_10501119,voting_lists
465,10501,tagdoum2,bureau_10501120,voting_lists
466,10501,tedbouk3,bureau_10501121,voting_lists
467,10501,gapale,bureau_10501122,voting_lists
468,10501,agaya2,bureau_10501123,voting_lists
469,10601,dagamanet,bureau_10601001,voting_lists
470,10601,dagamanet,bureau_10601002,voting_lists
471,10601,dagamanet,bureau_10601003,voting_lists
472,10601,misrata,bureau_10601004,voting_lists
473,10601,misrata,bureau_10601005,voting_lists
474,10601,misrata,bureau_10601006,voting_lists
475,10601,indoudou,bureau_10601007,voting_lists
476,10601,misrata,bureau_10601008,voting_lists
477,10601,misrata,bureau_10601009,voting_lists
478,10601,misrata,bureau_10601010,voting_lists
479,10601,tawayen sarki,bureau_10601011,voting_lists
480,10601,tawayen sarki,bureau_10601012,voting_lists
481,10601,nassaraoua,bureau_10601013,voting_lists
482,10601,nassaraoua,bureau_10601014,voting_lists
483,10601,nassaraoua,bureau_10601015,voting_lists
484,10601,amareoutt,bureau_10601016,voting_lists
485,10601,nassaraoua,bureau_10601017,voting_lists
486,10601,nassaraoua,bureau_10601018,voting_lists
487,10601,pays bas,bureau_10601019,voting_lists
488,10601,pays bas,bureau_10601020,voting_lists
489,10601,misrata,bureau_10601021,voting_lists
490,10601,obitara,bureau_10601022,voting_lists
491,10601,obitara,bureau_10601023,voting_lists
492,10601,obitara,bureau_10601024,voting_lists
493,10601,obitara,bureau_10601025,voting_lists
494,10601,obitara,bureau_10601026,voting_lists
495,10601,obitara,bureau_10601027,voting_lists
496,10601,obitara,bureau_10601028,voting_lists
497,10601,abalan,bureau_10601029,voting_lists
498,10601,abalan,bureau_10601030,voting_lists
499,10601,abalan,bureau_10601031,voting_lists
500,10601,tawayen sarki,bureau_10601032,voting_lists
501,10601,abanlan magema,bureau_10601033,voting_lists
502,10601,katanga,bureau_10601034,voting_lists
503,10601,katanga,bureau_10601035,voting_lists
504,10601,toudou/fan,bureau_10601036,voting_lists
505,10601,toudou,bureau_10601037,voting_lists
506,10601,toudou,bureau_10601038,voting_lists
507,10601,toudou,bureau_10601039,voting_lists
508,10601,toudou,bureau_10601040,voting_lists
509,10601,toudou,bureau_10601041,voting_lists
510,10601,dagamanet,bureau_10601042,voting_lists
511,10601,dagamanet,bureau_10601043,voting_lists
512,10601,dagamanet,bureau_10601044,voting_lists
513,10601,dagamanet,bureau_10601045,voting_lists
514,10601,dagamanet,bureau_10601046,voting_lists
