"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","145","10201","akokan carre c2","bureau_10201056","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","146","10201","akokan carre c3","bureau_10201057","voting_lists"
"165","10201","takrissa chetima (bagdad)","RENALOC_165","RENALOC","153","10201","takrissa chetima a","bureau_10201064","voting_lists"
"165","10201","takrissa chetima (bagdad)","RENALOC_165","RENALOC","154","10201","takrissa chetima b","bureau_10201065","voting_lists"
"166","10201","boukoki est (akokan)","RENALOC_166","RENALOC","150","10201","boukoki est akokan","bureau_10201061","voting_lists"
"167","10201","cite cominak (cite akokan)","RENALOC_167","RENALOC","138","10201","cite cominak a","bureau_10201049","voting_lists"
"167","10201","cite cominak (cite akokan)","RENALOC_167","RENALOC","139","10201","cite cominak b","bureau_10201050","voting_lists"
"169","10201","tassilim i","RENALOC_169","RENALOC","155","10201","tassilim","bureau_10201066","voting_lists"
"170","10201","tassilim ii","RENALOC_170","RENALOC","155","10201","tassilim","bureau_10201066","voting_lists"
"171","10202","abalajawad","RENALOC_171","RENALOC","199","10202","abalajawad","bureau_10202044","voting_lists"
"172","10202","acheki","RENALOC_172","RENALOC","182","10202","acheki","bureau_10202027","voting_lists"
"173","10202","agatarak","RENALOC_173","RENALOC","165","10202","agatarak","bureau_10202010","voting_lists"
"175","10202","anounagrouf","RENALOC_175","RENALOC","175","10202","anounagrouf 1","bureau_10202020","voting_lists"
"175","10202","anounagrouf","RENALOC_175","RENALOC","176","10202","anounagrouf 2 (a)","bureau_10202021","voting_lists"
"175","10202","anounagrouf","RENALOC_175","RENALOC","177","10202","anounagrouf 2 (b)","bureau_10202022","voting_lists"
"176","10202","anouzagharan","RENALOC_176","RENALOC","197","10202","anouzagaran","bureau_10202042","voting_lists"
"177","10202","anoumakaram(rta)","RENALOC_177","RENALOC","167","10202","anoumakaran 1 (rta)","bureau_10202012","voting_lists"
"179","10202","azar","RENALOC_179","RENALOC","162","10202","azar","bureau_10202007","voting_lists"
"183","10202","ikalan zagarane","RENALOC_183","RENALOC","156","10202","ikalan zagarane 1","bureau_10202001","voting_lists"
"183","10202","ikalan zagarane","RENALOC_183","RENALOC","157","10202","ikalan zagarane 2","bureau_10202002","voting_lists"
"187","10202","eris intagaba( eris tagba)","RENALOC_187","RENALOC","166","10202","eris intagba","bureau_10202011","voting_lists"
"188","10202","zikat","RENALOC_188","RENALOC","159","10202","zikat (jikat)","bureau_10202004","voting_lists"
"191","10202","oufoud","RENALOC_191","RENALOC","164","10202","oufoud","bureau_10202009","voting_lists"
"192","10202","sikeret","RENALOC_192","RENALOC","190","10202","sikerat (dibba)","bureau_10202035","voting_lists"
"193","10202","takarache","RENALOC_193","RENALOC","178","10202","takarache","bureau_10202023","voting_lists"
"194","10202","talaglag","RENALOC_194","RENALOC","160","10202","talaglag","bureau_10202005","voting_lists"
"198","10202","tarinikit","RENALOC_198","RENALOC","161","10202","tarinkit","bureau_10202006","voting_lists"
