"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"283","10501","amataltal","RENACOM_283","RENACOM","460","10501","amataltal1","bureau_10501115","voting_lists"
"283","10501","amataltal","RENACOM_283","RENACOM","461","10501","amataltal2","bureau_10501116","voting_lists"
"284","10501","assaouas (assawas)","RENACOM_284","RENACOM","364","10501","assaouass","bureau_10501019","voting_lists"
"285","10501","tiguidan tagueyt","RENACOM_285","RENACOM","452","10501","tiguida n'tagueyt","bureau_10501107","voting_lists"
"288","10501","makankan i","RENACOM_288","RENACOM","419","10501","makankane","bureau_10501074","voting_lists"
"294","10501","ebrik (gt","RENACOM_294","RENACOM","409","10501","ebrik","bureau_10501064","voting_lists"
"295","10501","kokari","RENACOM_295","RENACOM","369","10501","kokari","bureau_10501024","voting_lists"
"297","10501","tchelout","RENACOM_297","RENACOM","426","10501","tchilout","bureau_10501081","voting_lists"
"298","10501","tchimoumounene (vt)","RENACOM_298","RENACOM","414","10501","tchimoumounene","bureau_10501069","voting_lists"
"300","10501","torguit (vt)","RENACOM_300","RENACOM","442","10501","torguit","bureau_10501097","voting_lists"
"301","10501","injigran","RENACOM_301","RENACOM","377","10501","injigrane","bureau_10501032","voting_lists"
"313","10501","assouman","RENACOM_313","RENACOM","432","10501","assoumane1","bureau_10501087","voting_lists"
"313","10501","assouman","RENACOM_313","RENACOM","433","10501","assoumane2","bureau_10501088","voting_lists"
"314","10501","azzelik (pe)","RENACOM_314","RENACOM","348","10501","azelik","bureau_10501003","voting_lists"
"315","10501","azelik (pe)","RENACOM_315","RENACOM","348","10501","azelik","bureau_10501003","voting_lists"
"316","10501","tchinagrof","RENACOM_316","RENACOM","420","10501","tchinagarof","bureau_10501075","voting_lists"
"322","10501","marakat","RENACOM_322","RENACOM","436","10501","marakad","bureau_10501091","voting_lists"
"327","10501","dabla","RENACOM_327","RENACOM","352","10501","dabla","bureau_10501007","voting_lists"
"328","10501","mararaba","RENACOM_328","RENACOM","378","10501","mararaba","bureau_10501033","voting_lists"
